Disease,OrphaCode,Query,Count
Rett syndrome,778,%22rett+syndrome%22%5BMH%5D+OR+%28Rett+syndrome%5BTW%5D+NOT+medline%5Bsb%5D%29,3096
Angelman syndrome,72,Angelman+syndrome%5BTI%5D+OR+%22angelman+syndrome%22%5BMeSH+Terms%5D,1361
Juvenile myoclonic epilepsy,307,Myoclonic+Epilepsy%2C+Juvenile%5Bmh%5D+OR+%28juvenile%5Bti%5D+AND+myoclonic+epilepsy%5Bti%5D%29,865
Juvenile absence epilepsy,1941,%22absence+epilepsy%22%5BText+Word%5D+OR+%22epilepsy%2C+absence%22%5BMeSH+Terms%5D,4568
Von Hippel-Lindau disease,892,%28%28%22hippel-lindau+disease%22%5BTIAB%5D+OR+Von+Hippel-Lindau%5BTW%5D%29+NOT+Medline%5BSB%5D%29+OR+%22hippel-lindau+disease%22%5BMeSH+Terms%5D,621
Autosomal recessive polycystic kidney disease,731,"kidney,+polycystic,+autosomal+recessive%5Bmajr%5D",504
Familial advanced sleep-phase syndrome,164736,,0
CHARGE syndrome,138,charge+association%5Btw%5D,231
Marfan syndrome,558,%22marfan+syndrome%22%5BMeSH+Terms%5D+OR+Marfan+syndrome%5BText+Word%5D,7718
Familial mesial temporal lobe epilepsy with febrile seizures,165805,,0
Amyotrophic lateral sclerosis,803,Amyotrophic+lateral+sclerosis%5BTI%5D+OR+%22Amyotrophic+lateral+sclerosis%22%5BMH%5D,21627
Ataxia-telangiectasia,100,ataxia+telangiectasia%5Bmajr%5D,2212
Familial adenomatous polyposis,733,adenomatous+polyposis+coli+(humans+OR+patient)+OR+Turcot+syndrome%5Btw%5D,8913
Huntington disease,399,huntington%27s+disease%5Bmajr%5D,10069
Wound myiasis,165955,,0
Lafora disease,501,lafora+disease%5Bmh%5D+OR+Lafora+disease%5Bti%5D+OR+%28epilepsy%5Bti%5D+AND+progressive+myoclonic%5Bti%5D%29,522
Down syndrome,870,%28%28%22down+syndrome%22%5BTI%5D+OR+Trisomy+21%5BTi%5D+OR+21+Trisomy%5BTi%5D%29+NOT+Medline%5BSB%5D%29+OR+%22down+syndrome%22%5BMajr%5D,20386
Cavitary myiasis,165958,,0
Metachromatic leukodystrophy,512,"leukodystrophy,+metachromatic+(humans+OR+patients+OR+human%5Btw%5D)",1580
"Multiple epiphyseal dysplasia, Beighton type",166011,,0
22q11.2 deletion syndrome,567,(monosomy%5Bti%5D+22q11%5Bti%5D)+OR+del22q11%5Btw%5D+OR+deletion+22q11%5Btw%5D+OR+22q11+deletion%5Btw%5D+OR+digeorge+syndrome%5Bmh%5D,2958
"Multiple epiphyseal dysplasia, Lowry type",166016,,0
Sickle cell anemia,232,%22anemia%2C+sickle+cell%22%5BMH%5D+OR+%28%28sickle+cell+anemia%5BTW%5D+OR+sickle+cell+anaemia%5BTW%5D%29+NOT+medline%5Bsb%5D%29,24035
Pituitary resistance to thyroid hormone,165994,,0
Systemic lupus erythematosus,536,,0
Multiple epiphyseal dysplasia due to collagen 9 anomaly,166002,,0
Oculocerebrorenal syndrome of Lowe,534,%28%22oculocerebrorenal+syndrome%22%5BTIAB%5D+NOT+Medline%5BSB%5D%29+OR+%22oculocerebrorenal+syndrome%22%5BMeSH+Terms%5D+OR+Lowe+syndrome%5BText+Word%5D,529
Retinoblastoma,790,%22retinoblastoma%22%5BMeSH+Terms%5D+OR+%28Retinoblastoma%5BTi%5D+NOT+medline%5Bsb%5D%29,8324
Exercise-induced hyperinsulinism,165991,,0
Multiple endocrine neoplasia type 1,652,multiple+endocrine+neoplasia+type+1%5Bmh%5D+OR+men1%5Bti%5D+OR+Multiple+endocrine+neoplasia+type+1%5Btw%5D,2755
Fragile X syndrome,908,%22fragile+x+syndrome%22%5BMeSH+Terms%5D+OR+Fragile+X+syndrome%5BText+Word%5D,6808
Rheumatic fever,3099,Rheumatic+fever%5Bti%5D+OR+Rheumatic+fever%5Bmajr%5D,17288
Prader-Willi syndrome,739,%28%28snrpn%5Bti%5D+OR+%22prader-willi+syndrome%22%5BTi%5D%29+NOT+Medline%5BSB%5D%29+OR+%22prader-willi+syndrome%22%5BMeSH+Terms%5D,3239
X-linked agammaglobulinemia,47,X+linked%5Btw%5D+AND+%28agammaglobulinemia%5Btw%5D+OR+agammaglobulinaemia%5Btw%5D+OR+agammaglobulinemia%5Bmh%5D%29,1388
Mucopolysaccharidosis type 2,580,mucopolysaccharidosis+ii%5Btw%5D+OR+hunter+dis*%5Bti%5D+OR+hunter+synd*%5Bti%5D+OR+mucopolysaccharidosis+ii%5Bmh%5D,1080
Mucopolysaccharidosis type 1,579,%28mucopolysaccharidosis+i%5Btw%5D+NOT+medline%5Bsb%5D%29+OR+%22mucopolysaccharidosis+i%22%5BMeSH+Terms%5D,1826
Wilson disease,905,hepatolenticular+degeneration%5Bmh%5D+OR+hepatolenticular+degener*%5Bti%5D+OR+Wilson+Dis*%5Bti%5D+OR+Westphal+Strump*%5Bti%5D+OR+Wilson%27s+Dis*%5Bti%5D,6445
X-linked retinoschisis,792,%28%22retinoschisis%22%5BMeSH+Terms%5D+OR+Retinoschisis%5BTW%5D%29+AND+X-linked%5Btw%5D,559
X-linked mixed deafness with perilymphatic gusher,383,%28mixed+deafness%5Bti%5D+OR+hearing+loss%2C+sensorineural%5BMh%5D%29+%28pou3f4%5Btw%5D+OR+dfn3%5Btw%5D+OR+gusher*%5Btw%5D%29,92
Subacute cutaneous lupus erythematosus,163525,,0
Stargardt disease,827,Stargardt%5Btw%5D+AND+%28%22disease%22%5BMeSH+Terms%5D+OR+disease%5BText+Word%5D+OR+%22syndrome%22%5BMeSH+Terms%5D+OR+syndrome%5BText+Word%5D%29,986
Wiskott-Aldrich syndrome,906,%28%22wiskott-aldrich+syndrome%22%5BTw%5D+NOT+Medline%5BSB%5D%29+OR+%22wiskott-aldrich+syndrome%22%5BMH%5D,1657
Williams syndrome,904,%22williams+syndrome%22%5BMeSH+Terms%5D+OR+%28Williams+syndrome%5BText+Word%5D+NOT+medline%5Bsb%5D%29,1962
Wolf-Hirschhorn syndrome,280,Deletion%5Bti%5D+4p%5Bti%5D+OR+4p+syndrome%5Btw%5D+OR+wolf+hirschhorn%5Btw%5D+OR+(chromosome+deletion%5Bmh%5D+chromosome+4%5Bmh%5D),952
Isolated congenital nasal pyriform aperture stenosis,162516,,0
Achondroplasia,15,%22Achondroplasia%22%5BMeSH+Major+Topic%5D+AND+%22humans%22%5BMeSH+Terms%5D,1731
Ataxia with vitamin E deficiency,96,%28Friedreich%5Btw%5D+OR+Friedreich%27s%5Btw%5D+OR+cerebellar+Ataxia%5Ball%5D%29+AND+%28vitamin+e+deficiency%5Bmh%5D+OR+vitamin+e+deficiency%5Bti%5D%29,86
Isolated congenital auditory ossicle malformation,162526,,0
Dentatorubral pallidoluysian atrophy,101,myoclonic+epilepsies%2C+progressive%5Bmh%3Anoexp%5D+OR+Dentatorubral+pallidoluysian+atrophy%5Btw%5D+OR+progressive+myoclonic+epilepsies%5Btw%5D,730
Rubinstein-Taybi syndrome,783,rubinstein+taybi+syndrome%5Bti%5D+OR+rubinstein+taybi+syndrome%5Bmh%5D,627
"Spondyloepiphyseal dysplasia, Nishimura type",163649,,0
Non-acquired isolated growth hormone deficiency,631,%28%28dwarfism%5Btw%5D+OR+Nanism%5Btw%5D%29+AND+growth+hormone%5Bti%5D+AND+deficiency%5Btw%5D%29+OR+Pituitary+dwarfism%5Ball%5D,3053
T-B+ severe combined immunodeficiency due to gamma chain deficiency,276,severe+combined+immunodeficiency%5Bmajr%5D+AND+x-chromosome%5Bmajr%5D,68
"Spondyloepiphyseal dysplasia, Cantu type",163654,,0
Kennedy disease,481,Kennedy+disease%5BTw%5D+OR+%22spinal+muscular+atrophy%22%5BText+Word%5D+OR+%22muscular+atrophy%2C+spinal%22%5BMeSH+Terms%5D,7539
Ornithine transcarbamylase deficiency,664,ornithine+carbamoyltransferase+deficiency+disease%5Bmh%5D+OR+Ornithine+carbamoyltransferase+deficiency%5Bti%5D,932
"Spondyloepiphyseal dysplasia, MacDermot type",163668,,0
"Spondyloepiphyseal dysplasia, Byers type",163673,,0
"Spondyloepiphyseal dysplasia, Reardon type",163662,,0
Classic homocystinuria,394,%22homocystinuria%22%5BMeSH+Terms%5D+OR+%28Homocystinuria%5BText+Word%5D+NOT+medline%5Bsb%5D%29,1873
"Spondyloepiphyseal dysplasia tarda, Kohn type",163665,,0
Leprechaunism,508,Leprechaunism%5Btw%5D+OR+%28hyperinsulin*%5Btw%5D+AND+%28Receptor%2CInsulin/deficiency+OR+%28Insulin+receptor%5Ball%5D+AND+deficiency%5Btw%5D%29%29%29,564
Hypophosphatasia,436,%22hypophosphatasia%22%5BMeSH+Terms%5D+OR+%28Hypophosphatasia%5BText+Word%5D+NOT+medline%5Bsb%5D%29,1089
Hb Bart's hydrops fetalis,163596,,0
Hypochondroplasia,429,%28%22achondroplasia%22%5BMeSH+Major+Topic%5D+OR+%22osteochondrodysplasias%22%5BMeSH+Major+Topic%5D%29+AND+hypochondroplasia%5Btw%5D,164
Leber hereditary optic neuropathy,104,"optic+atrophy,+hereditary,+leber%5Bmh%5D+OR+(optic+atrophies,+hereditary%5Bmh%5D+(leber+OR+lebers+OR+leber+s%5Btw%5D))",1556
Hydrocephalus with stenosis of the aqueduct of Sylvius,2182,Hydrocephalus%5Ball%5D+AND+X-linked%5Btw%5D,325
Maffucci syndrome,163634,,0
Benign familial mesial temporal lobe epilepsy,163717,,0
Cryptogenic late-onset epileptic spasms,163708,,0
Neurofibromatosis type 1,636,neurofibromatosis+1+OR+Neurofibromatosis+type+i%5BTw%5D+OR+Von+Recklinghausen%5Bti%5D,11161
Febrile infection-related epilepsy syndrome,163703,,0
Norrie disease,649,Norrie+disease%5Btw%5D,316
Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,163727,,0
Rolandic epilepsy-speech dyspraxia syndrome,163721,,0
Leukoencephalopathy-dystonia-motor neuropathy syndrome,163684,,0
Cortical dysplasia-focal epilepsy syndrome,163681,,0
Chronic granulomatous disease,379,%28%22chronic+granulomatous+disease%22%5BTw%5D+NOT+medline%5Bsb%5D%29+OR+%22granulomatous+disease%2C+chronic%22%5BMeSH+Terms%5D,3556
Blue cone monochromatism,16,,0
Alveolar soft tissue sarcoma,163699,,0
NARP syndrome,644,NARP+syndr*%5Bti%5D+OR+%28neurogeni*%5Btw%5D+OR+muscular+atrop*%5Ball%5D+OR+muscular+weakn*%5Btw%5D%29+ataxia%5Ball%5D+retinitis+pigment*%5Ball%5D,88
Neurofibromatosis type 2,637,neurofibromatosis+2%5Bmajr%5D,1120
Action myoclonus-renal failure syndrome,163696,,0
X-linked hypohidrotic ectodermal dysplasia,181,Christ-Siemens-Touraine+Syndrome%5Btw%5D,72
2p21 microdeletion syndrome,163693,,0
Hypotonia-cystinuria syndrome,163690,,0
Fibrodysplasia ossificans progressiva,337,fibrodysplasia+ossificans+progressiva%5Btw%5D+OR+Myositis+ossificans+progressiva%5Btw%5D,935
Watson syndrome,3444,,0
Gorlin syndrome,377,basal+cell+nevus+syndrome%5Bmajr%5D,1104
Noonan syndrome,648,Noonan+Syndrome%5BTW%5D+OR+Noonan+Syndrome%5BTIAB%5D+OR+%22noonan+syndrome%22%5BMeSH+Terms%5D,2242
Monosomy 5p,281,cri+du+chat+syndrome,783
"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",752,%2817%5Bti%5D+hydroxysteroid+dehydrog*%5Bti%5D+deficiency%29+OR+17+hydroxysteroid+dehydrogenases/df,184
Cystinuria,214,%28cystinuria%5Bmh%5D+OR+Cystinuria%5Bti%5D%29+NOT+%28rat%5Btw%5D+OR+rats%5Btw%5D+OR+mouse%5Btw%5D+OR+mice%5Btw%5D%29,1490
Lesch-Nyhan syndrome,510,%28%22lesch-nyhan+syndrome%22%5BTIAB%5D+NOT+Medline%5BSB%5D%29+OR+%22lesch-nyhan+syndrome%22%5BMeSH+Terms%5D+OR+Lesch-Nyhan+syndrome%5BText+Word%5D,1395
Li-Fraumeni syndrome,524,li+fraumeni+syndrome%5Bmh%5D+OR+Li+Fraumeni+Syndrome%5Btw%5D,1355
Pearson syndrome,699,Pearson+syndrome%5Btw%5D+OR+Pearson%27s+syndrome%5Btw%5D+OR+%28Pearson%5Btw%5D+AND+anemia%5Bmh%5D+AND+pancreatic+diseases%5Bmh%5D%29,175
Hereditary neuropathy with liability to pressure palsies,640,Neuropathy%5Btw%5D+hereditary%5Btw%5D+pressure+palsies%5Btw%5D,471
Alpha-1-antitrypsin deficiency,60,alpha+1+antitrypsin+deficiency%5Bmajr%5D+OR+antitrypsin+deficiency%5Btw%5D+OR+alpha+1-Antichymotrypsin%2Fdf,4627
Waardenburg syndrome type 2,895,waardenburg%27s+syndrome%5Bmajr%5D+AND+%28%22type+2%22+OR+%22type+ii%22%29,137
Waardenburg syndrome type 3,896,waardenburg%27s+syndrome%5Bmajr%5D+AND+%28%22type+3%22+OR+%22type+iii%22+OR+%22waardenburg-klein%22%5Btw%5D%29,28
Townes-Brocks syndrome,857,Townes-Brocks%5Btw%5D+NOT+%22animals%22%5BMeSH+Terms%3Anoexp%5D,93
Waardenburg syndrome type 1,894,waardenburgs+syndrome%5Bmajr%5D,638
Hyperkalemic periodic paralysis,682,,0
Schwartz-Jampel syndrome,800,Schwartz-Jampel+syndrome%5BText+Word%5D,179
Diastrophic dwarfism,628,Diastrophic+dwarfism%5Bti%5D+OR+Diastrophic+dysplasia%5Bti%5D,191
Malaria,673,malaria%5Bmajr%5D,56502
Hypokalemic periodic paralysis,681,"paralysis,+familial+periodic%5Bmajr%5D+AND+hypokalemia%5Bmh%5D",315
Blepharophimosis-ptosis-epicanthus inversus syndrome,126,blepharophimosis%5Bmh%5D+AND+blepharoptosis%5Bmh%5D+AND+epicanthus%5Btw%5D,99
BOR syndrome,107,,0
Hereditary hemorrhagic telangiectasia,774,telangiectasia%2C+hereditary+hemorrhagic,3916
Saethre-Chotzen syndrome,794,Saethre-Chotzen+syndrome%5BTW%5D,249
Pfeiffer syndrome,710,acrocephalosyndactylia%5Bmajr%5D+AND+%28pfeiffer%5Btw%5D+OR+noack%5Btw%5D%29,194
Peutz-Jeghers syndrome,2869,peutz+jeghers+syndrome%5Bmh%5D+OR+Peutz+Jeghers+Syndrome%5Btw%5D,2495
WAGR syndrome,893,WAGR+syndrome%5Bmh%5D+OR+WAGR+syndrome%5Bti%5D+OR+%28wilms%5Btw%5D+AND+aniridia%5Btw%5D+AND+mental+retardation%5Btw%5D%29,218
Zellweger syndrome,912,zellweger+syndrome%5Bmajr%5D,403
Aicardi syndrome,50,aicardi%5BText+Word%5D+AND+%28%22syndrome%22%5BMeSH+Terms%5D+OR+syndrome%5BText+Word%5D%29+NOT+aicardi-goutieres%5BAll+Fields%5D,321
Albers-Schönberg osteopetrosis,53,Albers%5Btitle/abstract%5D+AND+%28%22Osteopetrosis%22%5BMeSH+Terms%5D+OR+osteopetrosis%5Btitle/Abstract%5D%29,282
Abetalipoproteinemia,14,%22abetalipoproteinemia%22%5BMeSH+Terms%5D,587
Alagille syndrome,52,alagille+syndrome+OR+alagille%5Bti%5D,1014
Chédiak-Higashi syndrome,167,%28%22chediak-higashi+syndrome%22%5BTw%5D+NOT+Medline%5BSB%5D%29+OR+%22chediak-higashi+syndrome%22%5BMH%5D,1305
Cat-eye syndrome,195,%28cat+eye%5Bti%5D+OR+cat%27s+eye%5Bti%5D%29+syndrome+OR+%28anal+atresia%5Bti%5D+AND+%28coloboma%5Bti%5D+OR+eye+anomalies%5Bti%5D%29%29,129
Crouzon disease,207,Crouzon%27s+disease%5BTW%5D+OR+Crouzon%27s+syndrome%5BTW%5D+OR+Crouzon+syndrome%5BTW%5D+OR+Crouzon+disease%5BTW%5D,872
Crigler-Najjar syndrome,205,%28%22crigler-najjar+syndrome%22%5BTw%5D+NOT+Medline%5BSB%5D%29+OR+%22crigler-najjar+syndrome%22%5BMH%5D,507
Cap polyposis,160148,,0
Cowden syndrome,201,Hamartoma+Syndrome%2C+Multiple%5BTW%5D+OR+Multiple+Hamartoma+Syndrome%5BTW%5D+OR+%22hamartoma+syndrome%2C+multiple%22%5BMeSH+Terms%5D,1554
Coffin-Lowry syndrome,192,%22coffin-lowry+syndrome%22%5Btw%5D,234
Mild hemophilia A,169808,,0
Severe hemophilia A,169802,,0
Moderately severe hemophilia A,169805,,0
McCune-Albright syndrome,562,%22fibrous+dysplasia%2C+polyostotic%22%5BMH%5D+OR+McCune-Albright+syndrome%5BTi%5D,1539
Menkes disease,565,menkes+kinky+hair+syndrome+OR+menkes+dis*%5Bti%5D+OR+Menkes+synd*%5Bti%5D,1090
Jeune syndrome,474,Jeune+syndrome%5BTi%5D+OR+Jeune%27s+syndrome%5BTi%5D+OR+asphyxiating+thoracic+dystrophy%5Bti%5D,192
Familial hemophagocytic lymphohistiocytosis,540,histiocytosis%2Cnon+langerhans+cell/ge%5Bmh%3Anoexp%5D+OR+histiocytosis%2Cnon+langerhans+cell/cn%5Bmh%3Anoexp%5D,215
"Microphthalmia, Lenz type",568,lenz+syndrome%5Btw%5D+OR+%28microphthalm*%5BTw%5D+OR+microphthalmos%5Bmh%5D%29+AND+lenz%5Btw%5D,57
Meckel syndrome,564,Meckel+synd*%5Btw%5D+OR+Meckel+Gruber%5Btw%5D+OR+polycystic+kidney+diseases%5Bmh%5D+encephalocele%5Bmh%5D+polydactyly%5Bmh%5D+syndrome%5Bmh%5D,38
Ellis Van Creveld syndrome,289,%28%22ellis-van+creveld+syndrome%22%5BTw%5D+NOT+Medline%5BSB%5D%29+OR+%22ellis-van+creveld+syndrome%22%5BMH%5D,568
Laminin subunit alpha 2-related congenital muscular dystrophy,258,(Muscular+dystroph*%5Btw%5D+OR+muscular+dystrophies)+(laminin+OR+merosin+deficien*%5BTW%5D+OR+merosin+negative%5Btw%5D),1025
Schistosomiasis,1247,schistosomiasis%5Bti%5D+OR+schistosomiasis%5Bmajr%5D,21714
Bartter syndrome,112,%22bartter+syndrome%22%5BMH%5D+OR+Bartter+syndrome%5BTi%5D+OR+Bartter%27s+syndrome%5BTi%5D,1677
